mem_mode,n,blocks,threads,K1_global,K2_global,mean_ms_K1_global,mean_ms_K2_global,K1_shared,K2_shared,mean_ms_K1_shared,mean_ms_K2_shared,h2d_ms
global,1000,10000,32,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,1000,10000,64,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,1000,10000,128,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,1000,10000,256,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,1000,10000,512,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,1000,10000,1024,249.0,245.0,0.0000,0.0000,249.0,245.0,0.0000,0.0000,0.0000
global,5000,1,32,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0000,0.0000,0.0000
global,5000,1,64,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0000,0.0000,0.0000
global,5000,1,128,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0000,0.0000,0.0000
global,5000,1,256,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0000,0.0000,0.0000
global,5000,1,512,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0000,0.0000,0.0000
global,5000,1,1024,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0000,0.0000,0.0000
global,5000,10,32,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0000,0.0000,0.0000
global,5000,10,64,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0000,0.0000,0.0000
global,5000,10,128,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0000,0.0000,0.0000
global,5000,10,256,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0000,0.0000,0.0000
global,5000,10,512,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0000,0.0000,0.0000
global,5000,10,1024,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0000,0.0000,0.0000
global,5000,100,32,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0000,0.0000,0.0000
global,5000,100,64,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0000,0.0000,0.0000
global,5000,100,128,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0000,0.0000,0.0000
global,5000,100,256,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0000,0.0000,0.0000
